Run#,Result,Solution
38,-12.0584,[-7.36711 -13.8431 0.112942 -1.59098 0.397585 -1.83686 0.76462 1.08555 -3.14361 -17.0994 0.521889 1.30767 -1.16778 -4.58606 -22.7903 -5.97899 -1.33165 -0.567849 -1.23066 1.19584 -1.41184 -0.392054 -1.4011 -0.353823 -1.41165 22.993 -0.670794 -1.18167 -0.864895 26.3423 ]
39,-12.8161,[-2.2962 -2.04214 -1.94537 -1.81941 -2.38263 -1.68776 0.228066 -1.70772 -29.8542 -22.2884 1.58452 -0.937183 -1.02374 -0.986571 -0.914032 1.55424 -0.385767 -1.38517 21.7633 -1.40468 -0.445001 1.48921 -1.22222 1.27398 -1.51015 -0.154221 -30 -2.86261 -1.01487 -1.18039 ]
40,-11.4546,[-18.0652 -10.746 -3.00506 -0.251608 -1.56167 0.89436 1.04011 0.883369 -1.60631 -0.835663 -1.13178 1.31921 -1.27569 29.2663 1.23648 0.647388 -3.41415 0.776153 -17.4534 29.1797 -1.3193 -0.671808 -25.5469 -29.3596 -24.8641 1.06853 -1.43148 1.14607 -1.30789 -0.0360787 ]
41,-12.2306,[-23.0561 -1.47005 1.12648 -1.33403 1.21479 -3.16733 0.0436467 -0.114626 -0.0808392 -28.9682 -0.00453186 -0.15629 -0.0624202 -0.000564188 -11.7301 14.3097 -12.3035 18.7202 -17.5876 1.95426 -4.78528 1.19682 0.786678 1.07698 0.818779 -1.49661 -0.0925961 -1.56621 -5.78032 -1.43857 ]
42,-15.5878,[1.57763 -0.629896 -5.95701 -0.76455 -1.17074 1.3653 -0.856941 -1.18329 -0.899071 -1.12574 -0.838496 -24.7063 -23.7463 -1.59986 -0.0280492 -0.0811672 -0.0356226 1.46937 -1.20449 -0.70067 -1.46726 -0.210094 -13.9604 -1.02092 -0.893391 -1.38068 -0.438557 1.48913 0.419544 -1.85125 ]
43,-12.1593,[-29.3364 -13.7228 -0.233684 -1.43187 0.827597 -1.58926 0.164479 -1.57115 -13.4501 -0.0175781 -0.138174 1.52837 -0.864719 -1.07709 -0.860866 -19.762 -8.25409 -20.9152 -1.88401 0.504161 1.32925 -1.22673 -26.6376 -1.4 -0.373301 -27.0348 -20.7115 -1.37485 -0.515246 -1.3562 ]
44,-11.5665,[0.478138 -1.59524 -19.7203 -30 -1.52519 0.65008 -1.62383 -0.576708 1.4527 -1.04004 1.36985 0.455507 -26.8238 1.60642 -6.41575 -26.1121 -0.792856 1.53925 -0.547152 -1.47874 -17.6081 -11.0576 0.340762 -1.64495 0.168955 -1.59324 0.0137728 0.0187874 -3.18928 -6.32483 ]
45,-9.89026,[1.58427 -0.603811 -4.46361 -17.0299 -30 -1.52369 -0.517653 3.08504 -1.81292 0.437272 -12.9965 -19.9043 6.16881 -20.5484 -0.19293 -1.50068 -30 -18.5152 -0.475508 -1.57726 -0.460402 -1.45526 -0.241123 -1.49766 -0.237604 1.44913 -27.2156 -1.57271 -0.0900818 -1.50881 ]
46,-4.68097,[-0.552786 -2.99936 -8.9072 -1.36409 -0.477796 -16.5453 -15.5999 -23.1518 -20.146 -1.60499 0.016035 -1.53015 -27.0818 -17.591 28.5658 -29.2888 -9.9929 2.20282 -11.1564 -24.6129 -27.4918 -30 -1.0097 1.46496 -0.960726 -1.02775 -19.9324 21.5612 23.2369 -27.4607 ]
47,-13.0159,[-1.47227 0.964864 -1.51182 0.0807923 -1.49287 -0.518023 1.54277 -1.08934 1.41674 -0.769695 -3.00328 -2.62538 -1.1706 -0.770888 26.3591 -21.3213 -22.1644 24.5482 -5.86852 -1.63824 0.00324941 -0.0771921 -3.12675 1.14186 -1.37389 1.10461 -3.32452 -28.6953 0.00546703 -1.51598 ]
48,-15.2364,[29.7581 -23.8852 -0.146807 -0.112726 -0.0268352 -1.46406 -0.32423 24.4545 0.0297546 -0.0180817 1.46658 -1.20439 -0.715069 -23.7665 -0.970078 -1.3371 -0.534228 1.59568 -0.515879 -1.52597 -0.0226576 -1.58411 1.3065 -0.973159 1.47215 -1.12855 -20.6561 -0.981654 -0.948103 -1.20394 ]
49,-13.8496,[-0.909116 -1.08232 1.55309 -3.15989 0.471138 -1.81052 -19.9488 -1.64181 0.511964 1.25901 -1.28613 -27.9967 -1.30011 1.28817 -1.08057 -1.18477 -3.1117 -0.779258 -1.14509 -0.738857 -1.18025 -22.4126 -0.97753 -1.31221 -0.0882043 0.0215773 -1.4567 -0.264925 -0.0705936 -1.51662 ]
50,-11.5954,[-2.09375 -3.7212 -11.7107 -1.14343 1.40005 -1.24866 -0.648344 -14.0571 -1.79746 0.383931 -1.59855 1.02615 -1.40864 -15.8598 1.38336 -1.10395 1.34584 -1.15766 -10.3971 -30 -0.667209 -1.19048 -5.49894 -24.8724 -0.96251 1.43701 -1.16187 1.39511 -1.10251 -1.27182 ]
