Run#,Result,Solution
41,-14246.3,[0.048049 -2.97994 -3.03215 -0.0479673 -1.11774 -7.11071 -0.0641797 -1.08669 -6.012 -4.10158 -1.05953 -1.00939 -1.02082 -0.996648 0.00536656 -1.00228 -0.950167 -0.0582194 -2.9828 -2.03597 -2.97081 -0.0756721 -7.9357 -0.986579 -0.00149155 -1.0011 -1.93464 -2.04997 -1.0476 -5.22435 ]
42,89670.3,[-2.04193 -2.99638 -3.20085 -4.00794 -0.0146847 -7.26264 -0.965237 -4.1433 -6.91771 0.0319899 0.0315454 -3.01199 -0.0182595 -4.18283 -0.00178194 -3.02586 -1.05112 -0.98572 -2.02954 -1.98771 -1.04803 -12.936 -2.95797 -0.0420408 0.0655174 -0.972723 -6.9519 -1.10269 -11.0013 -17.6411 ]
43,-28629.3,[-0.94678 0.0309711 -2.91874 -1.07033 -2.15259 -0.957914 -4.20089 -0.00475067 -1.07827 -1.0533 -0.0303481 -5.97735 -1.06873 -1.04744 -4.20848 -1.1242 -1.00267 -1.00027 -1.0959 -2.90885 -0.959895 -1.95068 -0.996642 0.930767 -3.98239 -3.98233 -1.01684 -3.95395 -0.981835 13.9979 ]
44,34035,[-1.99869 -0.0441107 -0.00773621 -4.0068 -1.07305 0.0343722 0.0287042 -8.14935 0.0575457 -0.0106964 -0.0893133 -0.996507 -2.91494 -6.0261 -3.01789 -0.0127868 -8.06066 -7.03012 -7.05772 -0.999978 -0.0404444 -5.01917 -2.01133 -5.10089 0.00912952 -0.996772 -3.12116 -2.02686 -3.00308 6.89149 ]
45,41123.3,[-7.13389 -0.0457104 -7.96493 0.0133687 -8.0654 -3.9803 -3.95375 -1.01559 -1.11399 -2.92215 -0.954474 -1.03394 0.0306816 -1.02292 -0.988742 -1.10623 -6.20617 -0.00201547 -1.00413 -0.0611007 -0.00679779 -3.92618 -1.05844 -7.93912 -3.94457 -3.99992 0.00566101 -4.98686 -0.0858581 19.3951 ]
46,26610,[-1.02397 0.0666981 0.00781552 -1.99012 -2.04861 -0.0522308 -2.99765 0.00179547 -3.0324 -1.03345 -1.96091 -3.04084 -4.06103 -9.90842 -2.0362 -3.89175 -0.00536871 -9.0601 -2.08772 0.0217528 -2.09776 0.0366482 -2.00779 0.0475769 -0.0760231 -8.01706 -1.99448 -1.03236 -4.96858 -3.92967 ]
47,-33469.7,[-2.96386 -1.02996 -1.00554 -1.05041 -0.0192576 0.0329746 -5.99345 -0.025589 -0.917751 -6.98374 -3.05543 -0.0900997 0.0249202 -2.99039 0.0236778 -3.03881 -0.999899 -0.994867 -0.944357 -2.93254 -0.999682 -2.06707 -1.96852 -1.0262 -4.12052 -1.02596 0.019404 -1.08019 0.0337639 4.78129 ]
48,-8788.39,[-2.002 -1.93748 -2.07087 -0.0325043 -1.95798 -5.00929 -0.00245024 -0.915217 -2.94557 -1.00815 -2.95002 -1.99717 -1.9855 -1.08432 -2.05153 -2.03589 -0.00127614 -5.96923 -7.11372 -2.99462 0.0187162 -1.1024 -1.9847 -6.96209 -3.98572 0.0155487 1.0034 -1.96944 -0.0772078 -1.1909 ]
49,-37809.1,[-0.0506614 -2.03572 -0.963119 -1.01674 -0.00569789 -2.02322 -1.94604 -2.00495 -1.00224 0.0431414 -1.09572 -0.992686 -2.0343 -4.98549 -1.98932 -3.0303 -0.010962 -1.0521 -2.02457 -4.97418 -3.17036 -0.0716667 -2.14174 -1.97754 -1.9999 -2.06439 -1.01513 -5.0176 -1.04883 4.57585 ]
50,-39114.7,[-0.0354462 -2.98899 -0.0329291 1.01998 -1.12005 -0.0320479 -1.00604 -0.043747 -0.941495 -2.98514 -0.0446434 -0.0490799 -1.0405 0.00770907 -0.0331884 -2.00005 -8.20471 -0.989927 -0.0486298 1.01077 -1.93678 -1.02945 -1.99331 -0.0462643 -1.04761 -5.9186 0.0218983 -0.0617495 -0.0563851 5.94448 ]
