Run#,Result,Solution
40,127.459,[-0.445612 -0.0583284 0.0538884 -0.755422 -0.769573 -0.749723 -1.77255 -0.753611 0.0573696 -1.725 -0.285205 -0.130145 0.0717545 -0.270201 -0.749657 -0.0623016 -12.7869 -0.0637673 0.0540298 0.00118667 -0.163668 -1.61456 -0.0365517 -0.851263 -1.87064 0.146912 0.00824829 0.021201 0.04285 -1.79872 ]
41,145.119,[-0.00589424 -1.1016 -0.810103 -1.00024 0.22345 -0.111555 -1.31766 -0.589563 -0.00198629 0.137408 -0.774468 -1.83301 0.0296355 0.10374 -0.913161 -3.72968 0.102209 -3.64993 -0.0115833 -0.727337 -0.485712 -0.825892 -0.838324 -0.848212 0.0496091 -2.10262 -4.82952 -0.77623 -0.308027 0.117872 ]
42,194.509,[-2.05963 -0.742046 -1.12987 -1.21274 -1.0689 -1.66883 -0.217799 -0.241939 -0.729703 -2.07388 -0.788648 -0.729103 -1.26401 -0.862696 -3.11703 -0.855038 -3.03583 -0.942664 0.0323285 0.0590282 -5.98772 -13.8461 -4.91917 0.0914326 -0.120735 -2.68487 -0.991176 -0.744197 0.0852121 -1.65144 ]
43,179.61,[-0.230319 0.228313 -1.04308 -1.77403 0.042717 -0.755624 0.0859759 -0.708954 -6.03913 -0.951187 -0.855661 -4.83526 0.0626122 0.0378783 -5.84005 -0.0433998 -0.869738 -1.79083 0.117372 0.100038 -1.35277 -0.0176116 -1.84366 -2.87449 -2.8527 0.191326 -1.95471 -0.0422304 -0.0510556 -3.8158 ]
44,139.314,[-0.118031 -1.11632 0.155998 -0.21447 -2.7756 -0.839626 0.110775 0.0470761 -4.84371 -1.04499 -0.873529 0.0553718 0.13226 -0.703048 -1.07656 -1.72601 0.0986103 -0.163837 -0.07256 0.103806 -1.68645 -1.37221 0.000377774 -2.17115 -0.90559 -1.27431 -0.034155 -1.74318 -0.0279009 -0.640792 ]
45,141.849,[0.017948 0.0954298 -0.193585 -0.85061 0.101982 0.0455511 0.139681 -0.0692984 -0.816978 -0.89054 -5.80871 -0.0441093 -0.304153 -0.0753635 -0.00591207 -0.0294037 -2.2552 -0.0681817 0.124753 -0.984782 0.168431 0.142389 -1.048 -0.885611 0.145632 -6.01205 -4.86948 -1.80845 -2.79121 -1.67999 ]
46,168.239,[-0.000907831 0.159887 -2.74857 -0.0197731 0.10466 -0.742678 -0.0955836 -3.81659 -0.837813 -4.84437 -0.872717 -0.773093 -4.07795 -0.00756645 -0.0540043 0.0691056 -2.68905 -1.13479 0.0836208 -0.722459 -2.16909 -2.81461 0.0963211 -2.20384 -0.786608 -0.0282745 -0.358677 0.0360752 0.110119 -3.99995 ]
47,164.372,[-1.962 -0.785749 0.0866218 -0.184961 -1.78901 0.112751 -5.79032 0.0714771 -0.728589 -1.51026 0.0368346 -0.625687 0.0230118 -0.0802555 -0.0307839 -0.650747 0.0383125 -0.805394 0.0680132 -2.88615 0.12316 -2.71611 -1.00541 -2.76916 -1.15866 -0.0297575 -0.751216 -2.77888 0.103001 -11.7579 ]
48,151.214,[-0.993028 0.0298948 0.118911 -1.22881 -0.693532 0.0597224 -4.96164 -4.97738 -0.898652 -0.804571 -0.997617 -1.76997 -0.098952 -0.000750631 0.106395 0.0990651 0.0762534 0.0102191 -3.9478 -6.08096 0.106186 -0.0393094 -3.82714 -1.11055 0.140062 0.108815 0.190017 -1.16347 0.00362396 0.00644684 ]
49,137.018,[-2.09075 -4.80935 -0.836821 -3.22882 -0.786874 -1.34612 -0.852171 -0.793217 0.120837 -0.236056 -0.0179082 -0.861303 -3.18843 -1.18925 0.116074 -0.606184 -0.373876 -0.115716 -1.0198 -2.13712 -0.800757 -0.13419 0.0317554 -0.0455596 0.0662791 0.00310898 -0.837987 0.08761 -0.855359 -0.718465 ]
50,108.989,[-0.889534 -0.807821 -0.91363 -0.961863 -0.238103 -0.069066 -0.80553 -1.63819 -1.85479 0.103624 -1.81678 -0.732716 -1.25404 -0.101273 0.0145527 0.00931787 0.0752513 -0.829134 -0.102994 -0.0285711 0.0175892 -0.911671 -0.0820255 0.0573359 -0.200507 0.049983 -1.61831 0.0289656 -1.74531 -1.86209 ]
