Run#,Result,Solution
38,-39.3597,[-6.42509 -6.72474 2.39537 4.52519 2.58873 2.3684 2.30594 1.40515 -11.8683 -0.803625 -9.61622 -1.51386 -9.95054 -6.84668 3.16587 -1.32504 -0.242652 -11.1646 -10.3969 4.22988 1.6419 -1.52733 -3.77701 -1.05806 -6.34106 -5.71409 -2.98372 2.27063 -2.33795 -14.2435 ]
39,-39.0409,[0.353047 -2.03003 1.24236 7.2576 -1.66135 -3.66553 -14.5317 -2.48346 0.786848 -13.2298 -0.0890365 3.20621 -0.574646 -1.97957 -6.50185 4.2401 -16.1109 -1.93786 -3.71388 2.41696 -3.84097 -2.95865 -15.8261 1.5406 4.40789 -12.0971 -1.14408 1.72397 2.64217 -3.13326 ]
40,-39.0272,[-0.686161 -2.50825 -0.67836 -1.16203 -0.586232 1.21512 -2.72308 1.22144 -21.2814 -3.16038 2.84699 0.14304 -7.67496 -2.68554 1.30639 0.0701871 -2.37586 -6.28521 -10.7366 -5.82292 -2.95097 2.87747 -5.7486 -2.73861 -16.3903 -17.1384 -7.31182 -6.92585 -5.04061 -0.964958 ]
41,-39.7111,[-4.74525 -2.89896 -8.37218 -12.9522 -4.96753 -4.27003 -0.616483 1.19157 5.33346 3.04216 -0.0571904 -1.37068 -6.58849 5.3497 -6.88033 -5.58909 -4.18272 -9.2288 1.97202 4.1615 0.639917 1.70223 4.04964 -5.9878 -14.9071 -8.08746 6.1014 -5.33451 4.20287 0.880293 ]
42,-39.6779,[-3.72493 -3.27098 3.39841 3.53452 3.37869 -7.83835 2.6159 -4.4431 -3.60228 -2.13742 -3.41066 2.13711 -4.71671 4.07606 1.95581 -1.85368 -2.78643 3.0372 -15.7538 -3.57527 -0.742899 -12.9015 -3.10562 3.58933 -4.57063 -0.106926 -1.33548 -10.5984 -15.7684 -1.16976 ]
43,-40.5238,[-0.203539 -2.9131 -7.44563 2.8621 -2.31784 -2.82337 3.65943 0.447775 -3.01031 -3.98787 -8.07523 -8.6755 0.78225 -4.75626 -2.9166 -0.191635 2.04866 -1.2152 0.50129 -5.25593 -8.56017 -5.65705 -8.35097 -9.63563 -5.03389 -0.113167 1.32043 -0.347431 1.23091 -0.493822 ]
44,-39.4704,[-0.998016 -1.80517 -0.331616 -12.1851 -16.0462 -4.63641 0.100176 -1.31469 -2.12422 1.78592 -8.3777 -8.80385 2.58903 0.231515 -4.56542 -3.72395 -2.17997 1.20481 -8.25882 -5.95804 0.806437 2.65351 -0.444699 3.40302 -11.8667 -2.45313 -1.11429 -11.0553 -10.3736 -7.32468 ]
45,-39.1911,[-4.44855 0.804309 -1.06785 5.27743 -9.26668 1.0005 3.79173 -2.36366 -12.8639 -4.20913 3.88639 2.53199 -3.39123 -22.24 1.78353 -1.02433 -9.40022 3.89742 1.00896 0.849204 3.19576 -8.11353 -5.61857 1.38777 -9.16874 -5.72531 -1.65745 0.78035 -1.64427 1.721 ]
46,-38.1677,[-6.72906 0.877393 -4.14024 -9.80775 0.168163 -11.1657 -6.62761 -9.58116 -6.97829 -1.23096 4.73226 3.86853 -0.653546 -2.91121 -11.76 -7.71462 4.94272 -0.145563 -4.66756 -10.8591 -7.12011 -14.6382 -0.836712 -4.45863 -0.849817 -12.5412 1.55199 -4.45386 -5.41142 -2.53412 ]
47,-37.9499,[-11.9849 -2.68752 -5.79982 -0.481796 -3.74785 -0.493672 -2.32597 -10.6057 -2.04245 -9.59076 -5.12675 -2.71968 4.59874 -16.0129 -1.71134 -9.66893 -25.1318 0.0554738 -1.33678 -0.00956881 -22.409 -9.47595 0.337818 -1.27704 0.306303 -2.75773 -4.4247 -0.460945 1.7666 -7.11096 ]
48,-38.1332,[0.582622 -6.46712 -1.29395 -4.23738 -4.76127 -6.56214 -17.5226 1.64384 -4.35378 -12.5944 2.9631 3.7076 -3.9475 -0.10734 -19.4701 1.504 -15.9957 -2.34224 -1.33107 -1.23687 -8.32467 -10.0087 1.28642 -3.26776 -4.55533 -2.66771 2.02519 -2.66621 -1.78414 -20.3755 ]
49,-38.3944,[-16.0898 -4.38972 -10.7828 -0.180374 -6.46171 -2.13756 1.04005 0.759487 -8.18574 -2.56622 -4.04504 -0.217591 -4.91334 -0.198817 3.61194 -16.8499 -1.50835 1.99028 -1.3166 -7.40078 -3.0657 -1.23837 -13.1679 -19.5647 0.220728 3.09755 -0.613052 -7.43919 -8.17668 0.33741 ]
50,-38.28,[-3.98711 0.836529 -2.08494 3.95041 -3.67446 -1.11304 -3.89316 -2.0759 -4.25283 1.24198 -0.498757 -1.72655 -5.51531 -4.62704 -10.1783 0.509493 -24.8044 -9.45152 -7.67299 -1.48895 -4.35772 -6.75465 -2.34957 -1.83888 -3.19451 -19.4221 -4.56094 -13.8787 -5.83793 -12.2832 ]
